device_type,landing_page_variant,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
desktop,A,4403,0.22015,0.07540313422666364,0.06796877241689384,0.08357774112603128,332,0.19879518072289157,0.15941856445985536,0.24506234536497934,66,0.014989779695662049,0.011800152344783803,0.019024977193015907
desktop,B,1987,0.09935,0.10518369401107197,0.09244769454310926,0.11944334125568233,209,0.2966507177033493,0.2388451499743704,0.36179656489187056,62,0.03120281831907398,0.024416653317863933,0.03979813297477385
mobile,A,3705,0.18525,0.013765182186234818,0.010485317682157304,0.0180522890060371,51,0.29411764705882354,0.18708726420135469,0.4299907557568642,15,0.004048582995951417,0.0024550795692877855,0.006669456811260211
mobile,B,8899,0.44495,0.029329138105405102,0.026021497489402044,0.03304295527581087,261,0.24521072796934865,0.19696187385656216,0.3008508908358226,64,0.007191819305539949,0.0056363889307097775,0.009172530157708808
tablet,A,700,0.035,0.024285714285714285,0.015217191424318243,0.03854698848645107,17,0.4117647058823529,0.2161105679021481,0.6399455735700021,7,0.01,0.004852273345302921,0.020496416472696698
tablet,B,306,0.0153,0.026143790849673203,0.013305757954390238,0.05073169815691868,8,0.25,0.071479212752109,0.5907245696898311,2,0.006535947712418301,0.0017942263415838457,0.023513745195020606
