traffic_source,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
facebook,11944,0.5972,0.012223710649698594,0.010404000022154547,0.014357080030701712,146,0.5136986301369864,0.4333192080114407,0.5933756735752806,75,0.0062793034159410585,0.005012759161348669,0.007863328904510131
google,8056,0.4028,0.09086395233366434,0.08478119356776392,0.0973367136293172,732,0.19262295081967212,0.16568880722135398,0.22276641692271865,141,0.01750248262164846,0.014860365843824282,0.020604532601277162
