landing_page_variant,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
A,8808,0.4404,0.045413260672116255,0.04125967806667666,0.049963190907667515,400,0.22,0.18217389273401458,0.2631529920931915,88,0.009990917347865577,0.008117050319620508,0.012292016237140109
B,11192,0.5596,0.04270907791279485,0.03911726524561304,0.04661469713980272,478,0.26778242677824265,0.23005313951123701,0.30921440184283305,128,0.01143674052894925,0.0096276753789831,0.013581072241855785
