intent_tier,traffic_source,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
High,facebook,843,0.04215,0.08659549228944247,0.06943616520395118,0.10750540663331143,73,0.4383561643835616,0.3304534902599767,0.552422236748264,32,0.03795966785290629,0.027015267895919685,0.05309590062807973
High,google,3157,0.15785,0.1951219512195122,0.18167206637221672,0.20931288966597222,616,0.17532467532467533,0.14733487713664306,0.2073388151313167,108,0.034209692746278116,0.028413851143549926,0.04113771026336628
Medium,facebook,3175,0.15875,0.01669291338582677,0.012785097455764262,0.021768830521959978,53,0.5849056603773585,0.45094422181344385,0.7073909122018602,31,0.009763779527559056,0.006887087658374997,0.013825319573510169
Medium,google,2825,0.14125,0.035044247787610616,0.02886978248172875,0.04248149745349926,99,0.2828282828282828,0.20351953248569554,0.37836115558416894,28,0.00991150442477876,0.006866370912271389,0.014287680911347326
Low,facebook,7926,0.3963,0.0025233409033560434,0.0016341228475553193,0.003894544913125752,20,0.6,0.3865815007622531,0.781193467627183,12,0.001514004542013626,0.0008663107762582436,0.0026446621688218765
Low,google,2074,0.1037,0.00819672131147541,0.005123947791856243,0.013087960850187864,17,0.29411764705882354,0.1327998961029523,0.5313311006653985,5,0.0024108003857280617,0.0010301758595032328,0.005631284648917861
