intent_tier,landing_page_variant,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
High,A,2138,0.1069,0.15902712815715622,0.14413911462204618,0.1751382324497673,340,0.18823529411764706,0.15025428041373085,0.23318249091943932,64,0.029934518241347054,0.023511776387751284,0.03804341401989286
High,B,1862,0.0931,0.1874328678839957,0.17035695897077707,0.20579582480555375,349,0.2177650429799427,0.17766365399701614,0.26401193407464857,76,0.04081632653061224,0.03273409376447651,0.05078932570075168
Medium,A,2743,0.13715,0.017499088589135983,0.01322416318984268,0.02312356940319865,48,0.4375,0.3070126904065424,0.5772498258017222,21,0.007655851257746992,0.005012903475600702,0.011675885996935987
Medium,B,3257,0.16285,0.03193122505373042,0.026422956809853067,0.038542317183353596,104,0.36538461538461536,0.2791697594973867,0.4611898359105811,38,0.011667178385016887,0.008512154460177345,0.015972770620960867
Low,A,3927,0.19635,0.0030557677616501145,0.0017489254606204985,0.005333898690991798,12,0.25,0.08894166839405476,0.5323053349335658,3,0.0007639419404125286,0.00025984244894399736,0.002243809485073891
Low,B,6073,0.30365,0.004116581590647127,0.002789980497275176,0.006070125395818652,25,0.56,0.3706733186979878,0.7333436111893266,14,0.002305285690762391,0.0013737463256981073,0.003866057779191847
