traffic_source,landing_page_variant,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
facebook,A,5246,0.2623,0.011246664125047654,0.008729433109310408,0.01447916466957645,59,0.559322033898305,0.43289354829158677,0.6784978823238792,33,0.006290507052992757,0.004482782802158516,0.00882075395576542
facebook,B,6698,0.3349,0.012988951925948044,0.010542958731238235,0.01599324925181191,87,0.4827586206896552,0.3807266446376226,0.5862487866363125,42,0.006270528515974918,0.004642566976983637,0.008464496113128817
google,A,3562,0.1781,0.0957327344188658,0.08650135619232266,0.1058351418659835,341,0.16129032258064516,0.12606117799128863,0.20406577139007281,55,0.015440763615946098,0.011882348538187405,0.020043203995587927
google,B,4494,0.2247,0.08700489541611037,0.07911339392120872,0.09560184804882213,391,0.21994884910485935,0.1817264420771167,0.26362055705994064,86,0.01913662661326213,0.015522410958427074,0.0235722215293082
