intent_tier,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
High,4000,0.2,0.17225,0.16086419054023063,0.18426472453616868,689,0.20319303338171263,0.17483211780429295,0.23484524085699301,140,0.035,0.029736128956581644,0.04115615330284075
Medium,6000,0.3,0.025333333333333333,0.021650724061384685,0.029623357863017417,152,0.3881578947368421,0.3143529637892505,0.46747659390810625,59,0.009833333333333333,0.0076313693269345366,0.012662547435588842
Low,10000,0.5,0.0037,0.002685648037750953,0.005095508744982636,37,0.4594594594594595,0.3103856980437302,0.6161595310782051,17,0.0017,0.0010617073611205114,0.0027209854150957837
