intent_tier,sessions,session_share,lead_rate,lead_rate_ci95_low,lead_rate_ci95_high,leads,appointment_rate_per_lead,appointment_rate_per_lead_ci95_low,appointment_rate_per_lead_ci95_high,appointments,appointment_rate_per_session,appointment_rate_per_session_ci95_low,appointment_rate_per_session_ci95_high
High,4000,0.20105554159336517,0.17225,0.16086419054023063,0.18426472453616868,689,0.20319303338171263,0.17483211780429295,0.23484524085699301,140,0.035,0.029736128956581644,0.04115615330284075
Medium,5983,0.30072882633827597,0.025238174828681265,0.021558063223515552,0.029527548601077463,151,0.3841059602649007,0.3103176744040929,0.46364467220147704,58,0.009694133377904061,0.007506954876705094,0.012510521725105715
Low,9912,0.4982156320683589,0.0037328490718321226,0.0027095018579055526,0.005140710264178124,37,0.4594594594594595,0.3103856980437302,0.6161595310782051,17,0.001715092816787732,0.001071135671053481,0.002745127323655055
